StoreID,before,after
266,11184.457142857142,10964.736842105263
267,6977.942857142858,7391.5
268,5068.328571428572,5501.868421052632
269,7779.614285714285,7906.026315789473
270,10096.842857142856,10514.894736842105
271,4935.0,5061.394736842105
272,4170.021428571428,4481.9473684210525
273,11888.635714285714,12360.105263157895
274,15402.735714285716,15220.447368421053
275,14890.342857142858,15918.368421052632
276,9229.757142857141,9524.368421052632
277,11622.557142857144,11277.763157894737
278,6685.857142857143,6972.105263157895
279,10443.085714285715,10783.684210526315
280,14588.17857142857,14614.631578947368
281,12565.535714285714,13047.263157894737
282,3546.0642857142857,3910.9473684210525
283,13624.157142857144,13579.394736842105
284,5808.792857142857,5942.131578947368
285,16680.992857142857,16276.21052631579
286,14454.264285714284,14536.552631578947
287,3309.4285714285716,3224.0789473684213
288,4274.478571428572,4492.105263157895
289,7550.442857142858,7615.8421052631575
290,8775.021428571428,9449.947368421053
291,8236.95,8858.131578947368
292,10290.407142857144,10672.473684210527
293,12387.050000000001,12463.78947368421
294,10506.5,11092.263157894737
295,14466.671428571428,14912.868421052632
296,5280.7071428571435,5173.473684210527
297,12252.714285714284,12891.552631578947
298,10110.607142857143,9777.578947368422
299,6411.135714285714,6555.4473684210525
300,14534.964285714284,14903.894736842105
301,7749.2642857142855,7927.0526315789475
302,6243.585714285714,6142.3421052631575
303,15588.621428571429,16115.421052631578
304,10068.885714285716,10510.842105263158
305,8466.15,8732.105263157895
306,14745.557142857142,14576.236842105263
307,13430.67857142857,14793.473684210527
308,12696.364285714286,12183.684210526315
309,5737.128571428571,6176.0526315789475
310,9724.642857142857,9430.973684210527
311,6111.021428571429,6328.473684210527
312,6256.821428571428,6119.1578947368425
313,12211.65,12520.394736842105
314,11693.0,12330.184210526315
315,9296.357142857143,9553.184210526315
316,15758.692857142858,16056.026315789473
317,11539.214285714286,11589.105263157895
318,4317.3,4294.184210526316
319,14012.550000000001,13434.131578947368
320,7730.6,7689.631578947368
321,5051.807142857142,5216.289473684211
322,11598.685714285713,11302.473684210527
323,15705.32857142857,15575.973684210527
324,10660.035714285714,10928.578947368422
325,7301.964285714287,7776.394736842105
326,8944.857142857141,9220.0
327,16000.192857142856,15295.157894736842
328,9570.949999999999,10153.868421052632
329,15425.878571428573,15620.815789473685
330,7880.221428571429,7933.105263157895
331,13701.307142857144,14792.921052631578
332,9043.242857142857,8958.684210526315
333,15343.285714285712,16198.736842105263
334,9355.071428571428,9513.342105263158
335,16356.078571428572,17968.763157894737
336,9668.350000000002,10085.0
337,16909.835714285717,17342.052631578947
338,4610.328571428572,4487.131578947368
339,6036.75,6202.5
340,6890.764285714285,7357.9473684210525
341,6452.814285714287,6263.368421052632
342,15313.357142857143,15800.157894736842
343,10763.25,11063.78947368421
344,12556.550000000001,11944.973684210527
345,8676.164285714285,8748.947368421053
346,10930.3,11343.947368421053
347,9484.714285714286,9909.236842105263
348,13652.164285714285,13550.368421052632
349,15690.421428571428,16527.86842105263
350,15514.528571428571,15173.28947368421
351,11941.0,12742.868421052632
352,12017.221428571429,12282.342105263158
353,12001.414285714289,11891.631578947368
354,14224.971428571427,14146.71052631579
355,9112.664285714285,9377.368421052632
356,7573.385714285714,7790.736842105263
357,9149.642857142857,9010.71052631579
358,11350.492857142857,10895.78947368421
359,14843.3,15035.473684210527
